label,initial_state,t,delta,mu_power_reference
P0.5,3,82,9.236666986822684e-12,1.3525189907639504e-11
P0.5,3,83,6.826400555937084e-12,9.995640393948857e-12
P0.5,3,84,5.0450615907138285e-12,7.387166285089114e-12
P0.5,3,85,3.728628517052357e-12,5.459402656841568e-12
P0.5,3,86,2.7557123249977167e-12,4.034710499165273e-12
P0.5,3,87,2.0367180164626575e-12,2.9818076876367135e-12
P0.5,3,88,1.505337521301442e-12,2.2036716358928028e-12
P0.5,3,89,1.1126100041281006e-12,1.628598886163349e-12
P0.5,3,90,8.224115832788925e-13,1.2035977996049873e-12
P0.5,3,91,6.079303727091201e-13,8.895054979600837e-13
P0.5,3,92,4.4941828036826337e-13,6.57379093880771e-13
P0.5,3,93,3.3227587348250154e-13,4.858286700448209e-13
P0.5,3,94,2.4569235534954714e-13,3.590462471876663e-13
P0.5,3,95,1.8170187576771468e-13,2.6534911496197543e-13
P0.5,3,96,1.343924971308752e-13,1.9610329689451304e-13
P0.5,3,97,9.94482274307984e-14,1.4492794919782698e-13
P0.5,3,98,7.367717547168695e-14,1.0710738060659097e-13
P0.5,3,99,5.459521723594207e-14,7.915651221108392e-14
P0.5,3,100,4.0495384823202585e-14,5.849973540514262e-14
P0.5,3,101,3.007316617953393e-14,4.323357544286168e-14
P0.5,3,102,2.2398749521812533e-14,3.195129059351778e-14
